id,evaluator_census_size,accept_count,census_decision,minimum_certifying_panel_size,stable_certifying_panel_size,selected_panel_errors,delta,claim_scope
mod-02,40,1,reject,3,3,"{""5"":0.0,""7"":0.0,""11"":0.0,""13"":0.0,""23"":0.0,""25"":0.0,""39"":0.0,""40"":0.0}",0.01,exact_frozen_census_no_replacement
mod-03,40,40,accept,1,1,"{""5"":0.0,""7"":0.0,""11"":0.0,""13"":0.0,""23"":0.0,""25"":0.0,""39"":0.0,""40"":0.0}",0.01,exact_frozen_census_no_replacement
mod-04,40,0,reject,1,1,"{""5"":0.0,""7"":0.0,""11"":0.0,""13"":0.0,""23"":0.0,""25"":0.0,""39"":0.0,""40"":0.0}",0.01,exact_frozen_census_no_replacement
ref-01,40,40,accept,1,1,"{""5"":0.0,""7"":0.0,""11"":0.0,""13"":0.0,""23"":0.0,""25"":0.0,""39"":0.0,""40"":0.0}",0.01,exact_frozen_census_no_replacement
ref-02,40,0,reject,1,1,"{""5"":0.0,""7"":0.0,""11"":0.0,""13"":0.0,""23"":0.0,""25"":0.0,""39"":0.0,""40"":0.0}",0.01,exact_frozen_census_no_replacement
ref-03,40,0,reject,1,1,"{""5"":0.0,""7"":0.0,""11"":0.0,""13"":0.0,""23"":0.0,""25"":0.0,""39"":0.0,""40"":0.0}",0.01,exact_frozen_census_no_replacement
ref-04,40,0,reject,1,1,"{""5"":0.0,""7"":0.0,""11"":0.0,""13"":0.0,""23"":0.0,""25"":0.0,""39"":0.0,""40"":0.0}",0.01,exact_frozen_census_no_replacement
hlt-01,40,39,accept,2,2,"{""5"":0.0,""7"":0.0,""11"":0.0,""13"":0.0,""23"":0.0,""25"":0.0,""39"":0.0,""40"":0.0}",0.01,exact_frozen_census_no_replacement
hlt-02,40,0,reject,1,1,"{""5"":0.0,""7"":0.0,""11"":0.0,""13"":0.0,""23"":0.0,""25"":0.0,""39"":0.0,""40"":0.0}",0.01,exact_frozen_census_no_replacement
hlt-03,40,0,reject,1,1,"{""5"":0.0,""7"":0.0,""11"":0.0,""13"":0.0,""23"":0.0,""25"":0.0,""39"":0.0,""40"":0.0}",0.01,exact_frozen_census_no_replacement
fp-01,40,39,accept,2,2,"{""5"":0.0,""7"":0.0,""11"":0.0,""13"":0.0,""23"":0.0,""25"":0.0,""39"":0.0,""40"":0.0}",0.01,exact_frozen_census_no_replacement
fp-02,40,0,reject,1,1,"{""5"":0.0,""7"":0.0,""11"":0.0,""13"":0.0,""23"":0.0,""25"":0.0,""39"":0.0,""40"":0.0}",0.01,exact_frozen_census_no_replacement
fp-03,40,0,reject,1,1,"{""5"":0.0,""7"":0.0,""11"":0.0,""13"":0.0,""23"":0.0,""25"":0.0,""39"":0.0,""40"":0.0}",0.01,exact_frozen_census_no_replacement
